,@BBC compound,@BBC positive,@BBC negative,@BBC neutral,@BBC date,@BBC text,@CBS compound,@CBS positive,@CBS negative,@CBS neutral,@CBS date,@CBS text,@CNN compound,@CNN positive,@CNN negative,@CNN neutral,@CNN date,@CNN text,@foxnews compound,@foxnews positive,@foxnews negative,@foxnews neutral,@foxnews date,@foxnews text,@nytimes compound,@nytimes positive,@nytimes negative,@nytimes neutral,@nytimes date,@nytimes text
90,0.6249,0.255,0.0,0.745,Sat Mar 03 21:21:40 +0000 2018,"RT @BBCRadio4: 🎧 Looking for a new podcast?
📻 Loads of great ideas right here...
https://t.co/DJbWsiWc2D",-0.296,0.0,0.115,0.885,Tue Jan 30 01:29:06 +0000 2018,Childish Gambino serenaded the crowd with his smooth vocals in this mesmerizing performance. Watch him perform 'Ter… https://t.co/TkWZP7PS22,0.0772,0.061,0.0,0.939,Wed Mar 07 07:01:07 +0000 2018,"Over 1.3 million live animals and plants, and a similar number of animal skins, have been exported from Africa to A… https://t.co/xrHyzDsyt4",0.0,0.0,0.0,1.0,Wed Mar 07 11:43:48 +0000 2018,".@TomiLahren: “I think that there are enough conservatives, enough Republicans in Texas to keep it red.”… https://t.co/zb70uQwEsG",0.6597,0.296,0.173,0.531,Wed Mar 07 02:18:04 +0000 2018,RT @samdolnick: Matthew Ornstein was my childhood best friend. He died because of severe gaps in our mental health care system. His very sm…
91,0.296,0.167,0.0,0.833,Sat Mar 03 19:36:06 +0000 2018,RT @bbcthree: Your regular reminder that Louis Theroux is a national treasure. https://t.co/vxTqbCttuQ,0.0,0.0,0.0,1.0,Tue Jan 30 00:11:05 +0000 2018,.@OfficialSting and @shaggy757 joined together to bring their upbeat reggae vibes to Madison Square Garden. Watch t… https://t.co/iqq0DbM1IR,-0.5574,0.0,0.247,0.753,Wed Mar 07 06:45:12 +0000 2018,Mississippi could be the first state with 15-week abortion ban https://t.co/K44D5iQJSa https://t.co/XYIwT6YDis,0.0,0.0,0.0,1.0,Wed Mar 07 11:36:00 +0000 2018,"Study claiming Uber, Lyft drivers made $3.37 per hour gets revised upward https://t.co/yERGAABOJg #fntech (via @christocarbone)",0.3182,0.166,0.102,0.732,Wed Mar 07 02:06:53 +0000 2018,Breaking News: The Justice Department is suing California over immigration laws that oppose President Trump's agend… https://t.co/EneN6FIURj
92,0.1695,0.17,0.11,0.72,Sat Mar 03 19:00:05 +0000 2018,🎧😎 Some people just don't want to stop raving. https://t.co/agXVmmgVKZ,0.3818,0.115,0.0,0.885,Mon Jan 29 22:45:21 +0000 2018,Superstar @Pink left it all on the stage last night in a simply stunning performance that brought the crowd to thei… https://t.co/B9Tj5INcNu,0.0,0.0,0.0,1.0,Wed Mar 07 06:41:49 +0000 2018,"Cruz vs. O'Rourke is set, but 3 House races head to runoffs in Texas primary https://t.co/20SNN2YQmL https://t.co/b5qn7BgQXr",-0.6486,0.075,0.255,0.669,Wed Mar 07 11:28:59 +0000 2018,"Dr. Domenick Sportelli: ""It's an important part of social development to lose, to get frustrated, to be disappointe… https://t.co/3VwTkMWM36",0.0,0.0,0.0,1.0,Wed Mar 07 02:02:05 +0000 2018,Evening Briefing: Here's what you need to know at the end of the day https://t.co/ordmqNjItR
93,-0.7717,0.0,0.271,0.729,Sat Mar 03 18:00:16 +0000 2018,"""You can’t dress it up. I said: ‘Mummy’s died’""

💔 Sky Sports anchor @SimonThomasSky, who lost his wife to cancer o… https://t.co/63Q2Wb37oX",0.5093,0.162,0.079,0.758,Mon Jan 29 22:10:15 +0000 2018,Check out these photos of the night's best backstage moments you didn't see on TV! Here's what you missed at The 60… https://t.co/6TBI8NV8JJ,-0.3182,0.0,0.141,0.859,Wed Mar 07 06:39:42 +0000 2018,Trump teeters on the edge of a familiar North Korean trap | Analysis by @StCollinson https://t.co/ODUETpLhes https://t.co/sbdYukPjB2,-0.4404,0.0,0.209,0.791,Wed Mar 07 11:25:31 +0000 2018,Man in suit attacks straphanger at Times Square subway station: cops https://t.co/9UwQ3g41L4,-0.8316,0.132,0.496,0.372,Wed Mar 07 01:47:01 +0000 2018,The organizer of the failed Fyre Festival pleaded guilty to federal fraud charges https://t.co/Evw6Deugfe
94,0.0,0.0,0.0,1.0,Sat Mar 03 17:58:00 +0000 2018,"RT @BBCWorld: Come on Eileen. 👏👏👏

https://t.co/KLrG8nMMJl",0.0,0.0,0.0,1.0,Mon Jan 29 20:00:04 +0000 2018,The dapper duo of @itstonybennett and @johnlegend brought down the #GRAMMYs house with an impromptu duet.… https://t.co/ucRrAFk59f,-0.5267,0.096,0.196,0.708,Wed Mar 07 06:35:07 +0000 2018,The US government says it's sanctioning North Korea after deeming its government responsible for the murder of Kim… https://t.co/dReKNZhIMa,0.4939,0.151,0.0,0.849,Wed Mar 07 11:14:27 +0000 2018,"Just in time for International Women’s Day, Barbie is releasing an entire collection of dolls inspired by boundary-… https://t.co/hgzYJBbUGp",0.2732,0.286,0.155,0.559,Wed Mar 07 01:32:07 +0000 2018,Your yard might play a surprisingly large role in fighting climate change https://t.co/ZtShJ61GEc
95,0.0,0.0,0.0,1.0,Sat Mar 03 17:57:56 +0000 2018,RT @BBCFood: CHOCOLATE CAKE KLAXON 📣 https://t.co/u1wNGs8Vtm https://t.co/UOi707IOaG,0.7783,0.286,0.0,0.714,Mon Jan 29 19:00:05 +0000 2018,🎶@BrunoMars worked his 24K Magic to become the night's biggest winner. See his #GRAMMYs acceptance speech for Album… https://t.co/dXzjWH0myx,0.7003,0.326,0.0,0.674,Wed Mar 07 06:31:07 +0000 2018,"Inspired by her travels, this artist paints stunning pictures on tea bags https://t.co/7ajfYCzNRi https://t.co/4Kg4vM1yKy",-0.0572,0.145,0.162,0.692,Wed Mar 07 11:10:35 +0000 2018,S. Korean president says talks won't ease pressure on North https://t.co/aymMFkNpPr,0.0,0.0,0.0,1.0,Wed Mar 07 01:17:07 +0000 2018,Texas primary election live results https://t.co/jVvL9hRsF8
96,-0.6705,0.0,0.256,0.744,Sat Mar 03 17:46:46 +0000 2018,"RT @BBCBreaking: One person suffers ""self-inflicted gun shot wound"" outside the White House, US Secret Service says https://t.co/Bv5sB11BSC",0.9259,0.442,0.0,0.558,Mon Jan 29 18:00:02 +0000 2018,When your win at The #GRAMMYs feels like 24K Magic! Congratulations to @BrunoMars for taking home six awards this y… https://t.co/UhWCE8OKfK,-0.4588,0.0,0.15,0.85,Wed Mar 07 06:21:13 +0000 2018,The Taliban banned women from being journalists in Afghanistan. Now the country has an all-female television networ… https://t.co/tFriI2F1XB,0.5994,0.323,0.129,0.547,Wed Mar 07 11:07:32 +0000 2018,OPINION: Prayers and a happiness journal -- How a mom found hope after losing twins https://t.co/VFBYtIztc5,0.0,0.0,0.0,1.0,Wed Mar 07 01:02:06 +0000 2018,"RT @nytgraphics: Watch live results from the Texas primaries, starting at 8 p.m. Eastern. https://t.co/CzTGFtmpUy"
97,0.0,0.0,0.0,1.0,Sat Mar 03 17:00:03 +0000 2018,❤️ A mum's tribute to her son Tristan who has Asperger's syndrome. https://t.co/LTZ02FX24V,0.0,0.0,0.0,1.0,Mon Jan 29 17:15:04 +0000 2018,✨@LadyGaga's stripped-down performance soared on the #GRAMMYs stage. See all the night's performances here:… https://t.co/Dw6xSzeeGC,0.0,0.0,0.0,1.0,Wed Mar 07 06:01:03 +0000 2018,"The Trump administration has quietly said it will consider big game trophy imports on a ""case-by-case"" basis… https://t.co/HBZBMkgmny",0.0,0.0,0.0,1.0,Wed Mar 07 10:59:26 +0000 2018,The first McDonald's menu ever is revealed https://t.co/olaXrEq902,0.0,0.0,0.0,1.0,Wed Mar 07 00:51:04 +0000 2018,Keep this page open for Texas primary election results when they come in https://t.co/A2mSbaV3BH
98,0.0,0.0,0.0,1.0,Sat Mar 03 16:00:08 +0000 2018,"💀 Less than one-10th of 1% of all species that have ever lived became fossils. 

But from skipping a coffin to avoi… https://t.co/20s85EmMhJ",0.5106,0.163,0.0,0.837,Mon Jan 29 16:00:05 +0000 2018,"Relive epic GRAMMY rock performances from @Metallica, @beck, @coldplay and more on @AppleMusic. Start your free tri… https://t.co/xmkaZGjlMM",-0.2263,0.0,0.091,0.909,Wed Mar 07 05:57:08 +0000 2018,"Britain's Boris Johnson says the UK would respond ""robustly"" if Russia is found to be behind the suspected poisonin… https://t.co/AMIiaud1IO",0.1027,0.142,0.121,0.737,Wed Mar 07 10:57:59 +0000 2018,".@Judgenap: ""I am critical of special counsels generally, because they go all over the place.""… https://t.co/mAOL3xL8xk",0.7269,0.243,0.0,0.757,Wed Mar 07 00:47:01 +0000 2018,"RT @nytimesbooks: Gabriel Garcia Marquez wrote ""Love in the Time of Cholera"" as a nostalgic exploration of his parents' courtship. The auth…"
99,0.0,0.0,0.0,1.0,Sat Mar 03 15:26:56 +0000 2018,"RT @bbcpress: 📻 📖 @IanMcKellen, @francesbarber13 and Simon Russell Beale star in a new adaptation of #ParadiseLost @BBCRadio4 - https://t.c…",0.1531,0.086,0.0,0.914,Mon Jan 29 15:00:03 +0000 2018,"The #GRAMMYs were full of emotional performances, stirring speeches, and jaw-dropping fashion. See all the red carp… https://t.co/yqpOW9tWm3",0.0,0.0,0.0,1.0,Wed Mar 07 05:46:04 +0000 2018,"Barbie unveils dolls based on real-life figures including Amelia Earhart, Frida Kahlo, Katherine Johnson and Chloe… https://t.co/8XiANn14pu",-0.4767,0.0,0.162,0.838,Wed Mar 07 10:51:47 +0000 2018,"Teens who stole motor oil quickly arrested after getaway car runs out of gas, police say https://t.co/TBgnYuHkRd",0.0,0.0,0.0,1.0,Wed Mar 07 00:32:06 +0000 2018,"Porsche has introduced a new all-electric vehicle, attempting to go head-to-head with Tesla https://t.co/XpKWkdqQQo"
